,did,short,RF,XGB,ETC,LGB,LCN[XGB]+,LCPN[ETC]+F[XGB],LCPN[RF]+F[XGB],LCPN[XGB]+F[RF],LCL[XGB]+F[RF],LCPN[RF]+F[RF],LCL[RF]+F[XGB],LCPN[LGB]+F[XGB],LCPN[XGB]+F[XGB]
49,275,meta-all,0.4832±0.1442,0.4996±0.1652,0.4828±0.1230,0.3979±0.1432,0.4590±0.1504,0.5044±0.1712,0.5044±0.1712,0.4859±0.1372,0.4859±0.1372,0.4907±0.1353,0.5044±0.1712,0.4793±0.1681,0.4842±0.1690
50,276,meta-batchincremental,0.4146±0.1038,0.4267±0.0925,0.3972±0.0885,0.4364±0.0920,0.4099±0.1321,0.4203±0.1083,0.4057±0.1145,0.3694±0.1160,0.3694±0.1160,0.3754±0.0963,0.4057±0.1145,0.4384±0.0934,0.4202±0.1041
51,278,meta-instanceincremental,0.7530±0.2114,0.7503±0.2203,0.7989±0.2383,0.7919±0.1432,0.7227±0.2235,0.7556±0.2188,0.7430±0.2078,0.6866±0.2031,0.6866±0.2031,0.6964±0.2083,0.7430±0.2078,0.7556±0.2188,0.7142±0.2055
52,14,mfeat-fourier,0.8175±0.0191,0.8244±0.0229,0.8281±0.0158,0.8320±0.0238,0.8301±0.0164,0.8274±0.0196,0.8258±0.0214,0.8107±0.0194,0.8115±0.0171,0.8157±0.0187,0.8261±0.0200,0.8260±0.0236,0.8267±0.0213
53,22,mfeat-zernike,0.7705±0.0132,0.7815±0.0098,0.7854±0.0123,0.7851±0.0071,0.7804±0.0102,0.7859±0.0123,0.7827±0.0106,0.7624±0.0190,0.7664±0.0173,0.7589±0.0162,0.7794±0.0123,0.7810±0.0135,0.7779±0.0113
54,46944,mobile-price,0.8783±0.0176,0.9135±0.0176,0.8675±0.0235,0.9153±0.0184,0.9188±0.0153,0.9127±0.0162,0.9129±0.0156,0.8976±0.0278,0.8976±0.0278,0.8669±0.0272,0.9131±0.0159,0.9159±0.0162,0.9166±0.0178
55,45067,okcupid-stem,0.5083±0.0094,0.5353±0.0048,0.4972±0.0040,0.5236±0.0043,0.5398±0.0049,0.5457±0.0046,0.5473±0.0043,0.5282±0.0080,0.5282±0.0080,0.5271±0.0078,0.5473±0.0043,0.5480±0.0051,0.5456±0.0042
56,42793,olindda-outliers,0.8176±0.1141,0.7654±0.1223,0.7711±0.0943,0.7653±0.1178,0.6950±0.1318,0.7762±0.1073,0.7705±0.1095,0.7674±0.0873,0.7674±0.0873,0.7982±0.0966,0.7705±0.1095,0.7598±0.1114,0.7651±0.0864
57,1086,ovarian-tumour,0.4959±0.0563,0.5570±0.0762,0.5596±0.0546,0.5880±0.0833,0.6150±0.0925,0.5922±0.0498,0.5922±0.0498,0.5909±0.0429,0.5909±0.0429,0.5658±0.0560,0.5922±0.0498,0.6038±0.0514,0.5833±0.0578
58,30,page-blocks,0.8501±0.0292,0.8478±0.0177,0.8407±0.0313,0.8355±0.0386,0.8505±0.0220,0.8517±0.0170,0.8488±0.0170,0.8470±0.0243,0.8470±0.0243,0.8391±0.0208,0.8490±0.0171,0.8484±0.0252,0.8527±0.0211
59,339,pasture,0.7743±0.1629,0.7680±0.1571,0.7597±0.1476,0.1333±0.0000,0.7437±0.1556,0.7747±0.1409,0.7894±0.1441,0.7810±0.1471,0.7810±0.1471,0.7030±0.1442,0.7894±0.1441,0.7747±0.1409,0.7747±0.1409
60,457,prnn-cushings,0.6637±0.2039,0.6102±0.2736,0.5935±0.2601,0.2500±0.0000,0.7055±0.2219,0.6519±0.2689,0.6519±0.2689,0.6943±0.1571,0.6943±0.1571,0.7054±0.2193,0.6519±0.2689,0.6483±0.2976,0.6519±0.2689
61,395,re1-wc,0.6428±0.0276,0.7936±0.0322,0.6763±0.0271,0.7206±0.0353,0.7692±0.0346,0.8012±0.0334,0.7962±0.0350,0.7240±0.0352,0.7337±0.0333,0.6335±0.0338,0.7843±0.0318,0.7720±0.0363,0.7960±0.0295
62,679,rmftsa-sleepdata,0.4082±0.0355,0.4038±0.0232,0.4082±0.0299,0.4033±0.0219,0.3966±0.0277,0.3968±0.0259,0.4008±0.0267,0.3951±0.0346,0.3951±0.0346,0.4040±0.0348,0.4004±0.0270,0.3963±0.0357,0.3924±0.0298
63,1516,robot-failures-lp1,0.8252±0.0686,0.7260±0.0831,0.8581±0.0817,0.7593±0.0927,0.7404±0.1184,0.7488±0.0855,0.7439±0.0854,0.8478±0.0580,0.8478±0.0580,0.8694±0.0586,0.7439±0.0854,0.7292±0.0922,0.7200±0.0809
64,1517,robot-failures-lp2,0.4347±0.1626,0.5732±0.2123,0.4764±0.1562,0.1143±0.0000,0.6282±0.1726,0.6049±0.1697,0.5934±0.1739,0.5849±0.1405,0.5849±0.1405,0.5982±0.1309,0.5983±0.1750,0.5804±0.1829,0.6276±0.2000
65,1077,rsctc2010-1,0.3545±0.0558,0.6528±0.0728,0.3277±0.0797,0.6175±0.1618,0.6697±0.0859,0.6528±0.0728,0.6528±0.0728,0.5937±0.1710,0.5937±0.1710,0.4569±0.1553,0.6528±0.0728,0.6400±0.0897,0.6528±0.0728
66,1078,rsctc2010-2,0.4025±0.0869,0.6528±0.0728,0.3277±0.0797,0.6175±0.1618,0.6697±0.0859,0.6528±0.0728,0.6528±0.0728,0.6420±0.1395,0.6420±0.1395,0.4368±0.1502,0.6528±0.0728,0.6400±0.0897,0.6528±0.0728
67,1079,rsctc2010-3,0.7376±0.0429,0.7973±0.1133,0.7345±0.0352,0.7722±0.1038,0.8447±0.1081,0.8193±0.1145,0.8193±0.1145,0.7196±0.0471,0.7196±0.0471,0.7196±0.0541,0.8149±0.1167,0.8056±0.1164,0.8109±0.1166
68,1080,rsctc2010-4,0.2790±0.0568,0.3354±0.0975,0.2868±0.0815,0.3124±0.0769,0.3420±0.0461,0.3399±0.0642,0.3336±0.0547,0.3002±0.0818,0.3002±0.0818,0.2915±0.0975,0.3399±0.0642,0.3419±0.1001,0.3413±0.0848
69,1082,rsctc2010-6,0.4207±0.1091,0.4339±0.1159,0.4063±0.0929,0.5013±0.1151,0.5292±0.1012,0.4630±0.1194,0.4631±0.1174,0.4574±0.1516,0.4574±0.1516,0.4950±0.1412,0.4642±0.1159,0.4885±0.1041,0.4666±0.1187
70,46955,sdss17,0.9738±0.0011,0.9713±0.0012,0.9678±0.0012,0.9740±0.0013,0.9714±0.0014,0.9712±0.0013,0.9721±0.0011,0.9725±0.0012,0.9725±0.0012,0.9724±0.0012,0.9721±0.0011,0.9726±0.0011,0.9713±0.0013
71,36,segment,0.9792±0.0038,0.9846±0.0055,0.9810±0.0056,0.9848±0.0053,0.9840±0.0065,0.9853±0.0057,0.9848±0.0056,0.9796±0.0070,0.9794±0.0079,0.9760±0.0068,0.9846±0.0056,0.9861±0.0067,0.9820±0.0060
72,40685,shuttle,0.9410±0.0550,0.9676±0.0464,0.9665±0.0285,0.3536±0.0830,0.9826±0.0247,0.9783±0.0254,0.9783±0.0255,0.9824±0.0241,0.9831±0.0241,0.9788±0.0234,0.9791±0.0242,0.7568±0.0628,0.9681±0.0465
73,42,soybean,0.2282±0.0251,0.2167±0.0168,0.2263±0.0188,0.2302±0.0227,0.2380±0.0254,0.2345±0.0148,0.2330±0.0190,0.2288±0.0233,0.2419±0.0200,0.2324±0.0219,0.2409±0.0178,0.2274±0.0143,0.2293±0.0215
74,313,spectrometer,0.5191±0.0334,0.4581±0.0483,0.5154±0.0538,0.4771±0.0481,0.4618±0.0427,0.4779±0.0436,0.4709±0.0451,0.5045±0.0303,0.4934±0.0390,0.5119±0.0361,0.4720±0.0464,0.4981±0.0561,0.4931±0.0585
75,46960,students-academic-success,0.6828±0.0168,0.6887±0.0172,0.6860±0.0167,0.6927±0.0140,0.6799±0.0179,0.6865±0.0145,0.6824±0.0155,0.6634±0.0139,0.6634±0.0139,0.6516±0.0122,0.6824±0.0155,0.6849±0.0135,0.6820±0.0148
76,40474,thyroid-allbp,0.4749±0.0253,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4820±0.0210,0.4820±0.0210,0.4876±0.0317,0.4695±0.0257,0.4623±0.0213,0.4689±0.0254
77,40475,thyroid-allhyper,0.4776±0.0214,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4749±0.0173,0.4749±0.0173,0.4836±0.0229,0.4695±0.0257,0.4623±0.0213,0.4689±0.0254
78,40476,thyroid-allhypo,0.4763±0.0254,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4730±0.0219,0.4730±0.0219,0.4807±0.0279,0.4695±0.0257,0.4623±0.0213,0.4689±0.0254
79,40477,thyroid-allrep,0.4750±0.0261,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4768±0.0194,0.4768±0.0194,0.4866±0.0324,0.4695±0.0257,0.4623±0.0213,0.4689±0.0254
80,40478,thyroid-dis,0.4768±0.0221,0.4580±0.0203,0.4703±0.0352,0.4498±0.0283,0.4650±0.0259,0.4730±0.0280,0.4706±0.0250,0.4837±0.0254,0.4837±0.0254,0.4811±0.0212,0.4695±0.0257,0.4623±0.0213,0.4689±0.0254
81,45084,tumors-11,0.7975±0.0862,0.8118±0.0698,0.8248±0.0667,0.8652±0.0674,0.8215±0.0881,0.8163±0.0779,0.8188±0.0836,0.8404±0.0453,0.8333±0.0523,0.8235±0.0621,0.8021±0.0730,0.8201±0.0603,0.8242±0.0618
82,685,visualizing-livestock,0.3427±0.0622,0.3527±0.0537,0.2073±0.0560,0.3501±0.0448,0.3598±0.0659,0.3459±0.0621,0.3479±0.0500,0.3414±0.0705,0.3414±0.0705,0.3344±0.0362,0.3442±0.0533,0.3491±0.0541,0.3532±0.0497
83,1528,volcanoes-a2,0.3673±0.0496,0.3520±0.0837,0.3401±0.0532,0.3557±0.0629,0.3439±0.0766,0.3516±0.0755,0.3543±0.0718,0.3636±0.0541,0.3584±0.0580,0.3618±0.0470,0.3499±0.0657,0.3407±0.0663,0.3543±0.0789
84,1529,volcanoes-a3,0.3084±0.0339,0.3032±0.0366,0.3219±0.0577,0.3051±0.0599,0.2956±0.0353,0.3011±0.0449,0.3178±0.0392,0.2860±0.0358,0.2965±0.0345,0.2991±0.0357,0.3196±0.0522,0.3140±0.0485,0.2924±0.0327
85,1531,volcanoes-b1,0.2883±0.0156,0.3033±0.0283,0.2804±0.0188,0.3071±0.0190,0.3034±0.0260,0.3005±0.0258,0.3048±0.0292,0.2949±0.0221,0.2949±0.0221,0.2934±0.0280,0.2978±0.0283,0.3086±0.0274,0.3051±0.0288
86,1533,volcanoes-b3,0.2853±0.0223,0.3174±0.0364,0.2607±0.0213,0.2877±0.0252,0.3069±0.0302,0.2985±0.0457,0.3068±0.0419,0.2841±0.0248,0.2870±0.0274,0.2847±0.0362,0.3071±0.0402,0.3140±0.0319,0.3109±0.0403
87,1534,volcanoes-b4,0.2801±0.0185,0.2990±0.0217,0.2689±0.0191,0.2885±0.0209,0.2913±0.0252,0.2911±0.0306,0.2970±0.0271,0.2991±0.0310,0.2993±0.0309,0.2947±0.0326,0.2939±0.0289,0.2968±0.0260,0.2968±0.0268
88,1536,volcanoes-b6,0.2897±0.0206,0.2955±0.0237,0.2754±0.0212,0.2874±0.0194,0.2991±0.0261,0.2874±0.0263,0.2904±0.0249,0.2957±0.0233,0.2957±0.0233,0.2894±0.0224,0.2912±0.0246,0.2872±0.0254,0.2924±0.0240
89,1538,volcanoes-d1,0.2371±0.0250,0.2404±0.0224,0.2259±0.0198,0.2323±0.0146,0.2500±0.0285,0.2414±0.0320,0.2491±0.0313,0.2490±0.0350,0.2490±0.0350,0.2550±0.0339,0.2510±0.0314,0.2404±0.0306,0.2417±0.0277
90,1539,volcanoes-d2,0.2367±0.0259,0.2290±0.0213,0.2325±0.0262,0.2264±0.0170,0.2591±0.0196,0.2464±0.0330,0.2443±0.0270,0.2538±0.0172,0.2544±0.0174,0.2611±0.0166,0.2428±0.0276,0.2448±0.0286,0.2492±0.0307
91,1540,volcanoes-d3,0.2428±0.0191,0.2404±0.0276,0.2283±0.0211,0.2482±0.0290,0.2638±0.0394,0.2559±0.0354,0.2549±0.0317,0.2578±0.0296,0.2596±0.0316,0.2587±0.0197,0.2610±0.0399,0.2570±0.0330,0.2579±0.0347
92,1541,volcanoes-d4,0.2490±0.0206,0.2549±0.0249,0.2312±0.0230,0.2512±0.0271,0.2654±0.0245,0.2573±0.0205,0.2589±0.0232,0.2666±0.0235,0.2675±0.0241,0.2688±0.0194,0.2573±0.0258,0.2548±0.0195,0.2593±0.0214
93,1542,volcanoes-e1,0.2759±0.0735,0.2875±0.0548,0.2675±0.0613,0.2807±0.0503,0.2599±0.0554,0.2823±0.0501,0.2902±0.0517,0.2700±0.0748,0.2670±0.0774,0.2815±0.0687,0.2717±0.0456,0.2781±0.0463,0.2681±0.0458
94,1544,volcanoes-e3,0.2902±0.0742,0.2882±0.0607,0.2750±0.0557,0.3025±0.0754,0.2833±0.0579,0.2891±0.0676,0.2894±0.0676,0.2809±0.0685,0.2735±0.0619,0.2817±0.0668,0.2901±0.0680,0.2882±0.0647,0.2922±0.0737
95,1546,volcanoes-e5,0.2576±0.0310,0.2814±0.0487,0.2462±0.0335,0.2635±0.0455,0.2771±0.0474,0.2835±0.0422,0.2715±0.0353,0.2770±0.0625,0.2772±0.0623,0.2776±0.0574,0.2742±0.0370,0.2864±0.0477,0.2861±0.0502
96,1509,walking-activity,0.6142±0.0035,0.6038±0.0026,0.6170±0.0028,0.5418±0.0544,0.8479±0.0284,0.6195±0.0027,0.6174±0.0027,0.6166±0.0043,0.6010±0.0040,0.6183±0.0031,0.6087±0.0034,0.6009±0.0029,0.6045±0.0028
97,40691,wine-quality-red,0.3878±0.0369,0.3853±0.0381,0.3823±0.0358,0.3887±0.0382,0.3749±0.0411,0.3809±0.0347,0.3808±0.0349,0.3777±0.0403,0.3766±0.0399,0.3729±0.0440,0.3787±0.0353,0.3796±0.0335,0.3742±0.0356
98,40498,wine-quality-white,0.4211±0.0116,0.4246±0.0224,0.4237±0.0166,0.4157±0.0204,0.4062±0.0148,0.4266±0.0214,0.4229±0.0197,0.4137±0.0124,0.4093±0.0141,0.4081±0.0149,0.4220±0.0169,0.4211±0.0231,0.4237±0.0231
99,62,zoo,0.9032±0.1331,0.8927±0.1416,0.9402±0.0918,0.9141±0.1082,0.8383±0.1755,0.9210±0.0968,0.9233±0.0941,0.9032±0.1331,0.9032±0.1331,0.9254±0.0914,0.9210±0.0968,0.9141±0.1082,0.9233±0.0941
100,,# winners,7,2,12,9,20,10,3,6,3,9,1,13,5
